City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Wind Speed
chuy,100,UY,68,1559251354,-33.69,-53.46,57.32,10.87
chokurdakh,100,RU,84,1559251354,70.62,147.9,33.56,14.03
bambous virieux,40,MU,77,1559251355,-20.34,57.76,68.0,6.93
nuuk,20,GL,57,1559251355,64.17,-51.74,51.8,4.7
nioki,69,CD,89,1559251355,-2.72,17.69,74.06,5.12
shangqiu,0,CN,69,1559251355,34.42,115.65,64.16,3.29
cidreira,100,BR,85,1559251356,-30.17,-50.22,63.08,17.58
richards bay,0,ZA,64,1559251356,-28.77,32.06,68.12,2.44
swan river,0,CA,34,1559251357,52.11,-101.27,76.22,7.63
jiaonan,0,CN,93,1559251357,35.88,119.98,55.4,2.24
kaitangata,88,NZ,91,1559251357,-46.28,169.85,39.99,4.0
port pirie,90,AU,71,1559251358,-33.18,138.01,53.6,8.05
ulaangom,74,MN,38,1559251358,49.98,92.07,53.72,1.72
norman wells,75,CA,71,1559251358,65.28,-126.83,50.0,5.82
yellowknife,75,CA,65,1559251358,62.45,-114.38,41.0,2.24
meulaboh,100,ID,82,1559251359,4.14,96.13,81.98,8.01
salalah,20,OM,79,1559251359,17.01,54.1,86.0,5.82
vestmanna,65,FO,76,1559251359,62.16,-7.17,41.0,14.99
new norfolk,75,AU,81,1559251359,-42.78,147.06,52.0,6.93
camacha,40,PT,100,1559251359,33.08,-16.33,70.0,17.22
victoria,75,BN,94,1559251360,5.28,115.24,80.6,8.63
tottori,100,JP,67,1559251295,35.5,134.23,65.42,7.16
talnakh,90,RU,91,1559251360,69.49,88.39,32.0,13.42
zyryanovsk,100,KZ,93,1559251360,49.74,84.27,47.78,4.81
saint-georges,95,CA,47,1559251361,46.12,-70.67,70.0,5.99
pevek,1,RU,86,1559251361,69.7,170.27,33.56,4.03
gulariya,0,IN,27,1559251361,28.2,81.35,84.14,5.5
mahebourg,40,MU,77,1559251362,-20.41,57.7,68.0,6.93
hovd,75,NO,80,1559251362,63.83,10.7,44.01,14.99
tiruvannamalai,100,IN,79,1559251362,12.23,79.08,81.08,9.48
huarmey,100,PE,94,1559251362,-10.07,-78.15,62.36,15.03
puerto del rosario,20,ES,68,1559251363,28.5,-13.86,69.8,16.11
tahoua,33,NE,22,1559251363,14.89,5.26,100.7,11.61
zatoka,75,PL,87,1559251363,50.04,20.52,51.01,4.7
mabaruma,81,GY,59,1559251363,8.2,-59.78,85.76,7.25
jawhar,67,IN,86,1559251363,19.91,73.23,80.54,3.94
necochea,100,AR,41,1559251363,-38.55,-58.74,46.0,1.01
nikolskoye,0,RU,45,1559251364,59.7,30.79,48.2,6.71
ucluelet,20,CA,87,1559251124,48.94,-125.55,80.01,8.05
faanui,95,PF,66,1559251364,-16.48,-151.75,80.9,3.85
dowa,45,MW,72,1559251364,-13.66,33.93,59.3,5.21
esperance,20,TT,46,1559251364,10.24,-61.45,89.6,13.87
konstantinovo,20,BG,77,1559251365,42.0,25.79,69.8,6.93
nouadhibou,0,MR,82,1559251365,20.93,-17.03,66.2,17.22
cabrobo,28,BR,56,1559251365,-8.51,-39.31,80.72,7.96
iqaluit,20,CA,86,1559251365,63.75,-68.52,39.2,6.93
vrangel,100,RU,97,1559251365,42.73,133.08,51.74,2.68
swan hill,91,AU,87,1559251365,-35.34,143.56,51.2,9.42
kloulklubed,90,PW,94,1559251366,7.04,134.26,77.0,5.99
henties bay,0,NA,92,1559251366,-22.12,14.28,57.99,1.99
bilibino,1,RU,85,1559251366,68.06,166.44,39.32,2.89
zyryanka,100,RU,42,1559251366,65.73,150.89,63.44,7.09
esil,0,KZ,45,1559251366,51.96,66.41,63.26,6.08
coquimbo,0,CL,55,1559251367,-29.95,-71.34,66.2,2.24
jamame,96,SO,80,1559251367,0.07,42.75,78.2,7.43
labuan,75,BN,94,1559251156,5.28,115.24,80.6,8.63
togur,0,RU,76,1559251367,58.36,82.83,38.24,7.11
port blair,100,IN,71,1559251367,11.67,92.75,84.86,8.12
mount isa,0,AU,34,1559251367,-20.73,139.49,51.8,12.75
mantua,40,IT,67,1559251368,45.16,10.79,63.0,4.7
quatre cocos,40,MU,77,1559251368,-20.21,57.76,68.0,6.93
vila velha,40,BR,83,1559251368,-3.71,-38.6,81.0,9.17
kenai,90,US,81,1559251281,60.55,-151.26,53.01,13.87
starychi,90,UA,93,1559251368,49.97,23.55,57.2,2.24
bethel,40,US,50,1559251369,60.79,-161.76,57.2,4.7
safakulevo,2,RU,64,1559251369,54.99,62.54,60.38,8.37
honiara,40,SB,100,1559251369,-9.43,159.96,73.4,3.36
escanaba,1,US,42,1559251369,45.75,-87.06,72.0,9.17
seymchan,86,RU,44,1559251369,62.93,152.39,59.3,7.4
yuzhnyy,89,RU,83,1559251370,53.54,39.45,66.5,6.49
kearney,1,US,41,1559251222,40.7,-99.08,78.01,11.41
ilulissat,5,GL,70,1559251166,69.22,-51.1,44.6,5.82
ganzhou,83,CN,98,1559251370,25.86,114.93,69.92,1.43
erenhot,39,CN,21,1559251370,43.65,111.97,57.5,15.14
skrunda,7,LV,66,1559251370,56.68,22.02,50.0,8.05
hofn,20,IS,71,1559251371,64.25,-15.21,32.12,4.72
werda,0,DE,71,1559251371,50.44,12.3,64.0,3.36
ostrovnoy,3,RU,50,1559251371,68.05,39.51,48.32,15.12
wahiawa,1,US,48,1559251115,21.5,-158.02,89.6,10.29
along,55,IN,73,1559251371,28.17,94.8,54.98,4.59
kapaa,75,US,74,1559251251,22.08,-159.32,80.6,9.17
mandeville,40,JM,94,1559251281,18.04,-77.51,78.8,5.82
weatherford,1,US,45,1559251125,32.76,-97.8,87.01,9.17
bluff,3,AU,35,1559251372,-23.58,149.07,52.28,17.92
koslan,68,RU,74,1559251372,63.46,48.9,49.94,8.99
kruisfontein,100,ZA,81,1559251372,-34.0,24.73,58.76,3.85
nampula,0,MZ,88,1559251372,-15.12,39.26,66.2,9.17
saint george,40,GR,52,1559251372,39.45,22.34,66.2,5.32
tasiilaq,17,GL,71,1559251373,65.61,-37.64,32.0,18.34
abnub,0,EG,38,1559251373,27.27,31.15,89.6,17.22
chapais,90,CA,81,1559251373,49.78,-74.86,42.8,14.99
miandrivazo,0,MG,95,1559251373,-19.53,45.46,67.22,1.54
santander,74,PH,89,1559251373,9.42,123.33,74.96,3.91
saint-philippe,75,CA,49,1559251374,45.36,-73.48,73.99,12.75
santa fe,100,AR,77,1559251228,-31.62,-60.7,62.01,3.0
batticaloa,100,LK,86,1559251374,7.71,81.69,77.66,3.4
egvekinot,7,RU,87,1559251374,66.32,-179.17,33.02,2.89
flinders,1,AU,70,1559251375,-34.58,150.85,51.01,13.87
fortuna,0,ES,68,1559251375,38.18,-1.13,66.99,6.91
poltavka,76,RU,65,1559251375,54.36,71.76,54.98,11.34
broome,23,GB,72,1559251375,52.47,1.45,66.99,10.29
flin flon,90,CA,49,1559251376,54.77,-101.88,48.2,10.29
pilot butte,40,CA,10,1559251376,50.48,-104.42,89.01,14.99
shu,96,KZ,52,1559251209,43.6,73.76,67.58,7.18
las animas,1,US,23,1559251376,38.07,-103.22,75.2,3.36
moose factory,90,CA,54,1559251376,51.26,-80.61,41.0,2.24
mamakan,39,RU,86,1559251376,57.82,114.02,35.54,1.95
abu kamal,0,SY,9,1559251377,34.45,40.92,92.24,4.7
matehuala,28,MX,25,1559251377,23.65,-100.64,85.04,10.54
grand-santi,100,GF,97,1559251377,4.27,-54.38,77.66,3.2
port-gentil,75,GA,94,1559251377,-0.72,8.78,77.0,11.41
dzheguta,0,RU,79,1559251377,43.97,42.04,54.98,7.29
biscarrosse,0,FR,77,1559251377,44.41,-1.18,64.99,6.93
neiafu,40,TO,88,1559251378,-18.65,-173.98,75.2,16.35
madisonville,90,US,61,1559251166,37.33,-87.5,78.01,8.05
itarema,100,BR,93,1559251378,-2.92,-39.92,76.76,8.59
hailey,90,US,42,1559251379,43.52,-114.32,66.2,6.93
bom jesus dos perdoes,0,BR,82,1559251380,-23.14,-46.47,73.4,3.36
laguna,0,MX,36,1559251380,27.52,-110.01,86.12,13.18
kavieng,47,PG,77,1559251380,-2.57,150.8,84.5,11.63
shitanjing,93,CN,19,1559251380,39.23,106.34,64.99,3.0
porto novo,20,BR,83,1559251380,-23.68,-45.44,73.4,10.29
chazuta,40,PE,290,1559251381,-6.57,-76.13,62.6,5.82
qaqortoq,0,GL,15,1559251381,60.72,-46.03,59.0,13.87
angola,90,US,60,1559251381,41.63,-85.0,77.0,10.29
barrow,100,AR,62,1559251382,-38.31,-60.23,47.78,4.7
saskylakh,86,RU,95,1559251382,71.97,114.09,31.76,13.47
yeppoon,100,AU,51,1559251382,-23.13,150.74,59.0,4.7
simao,91,CN,95,1559251382,22.76,100.79,66.86,2.15
matara,41,PE,16,1559251382,-13.74,-72.9,60.56,8.43
ciudad bolivar,100,VE,32,1559251382,8.12,-63.55,96.74,4.5
anadyr,0,RU,70,1559251384,64.73,177.51,46.4,13.42
piacabucu,0,BR,76,1559251384,-10.41,-36.43,79.1,6.6
tadpatri,68,IN,29,1559251384,14.92,78.02,96.2,2.68
turayf,0,SA,17,1559251384,31.68,38.65,84.2,11.41
kastoria,1,GR,92,1559251385,40.52,21.27,49.58,5.06
aykhal,0,RU,52,1559251385,65.95,111.51,44.6,4.47
ivanovice na hane,0,CZ,81,1559251385,49.31,17.09,57.0,3.36
pozo colorado,44,PY,92,1559251385,-23.49,-58.8,73.34,9.44
bacolod,46,PH,82,1559251385,10.68,122.95,83.06,11.36
grindavik,0,IS,57,1559251386,63.84,-22.43,51.01,4.7
beroroha,0,MG,92,1559251386,-21.68,45.17,63.98,2.8
bathsheba,75,BB,88,1559251175,13.22,-59.52,78.8,21.92
wuzhou,63,CN,98,1559251386,23.48,111.3,73.34,2.06
andijon,88,UZ,42,1559251386,40.76,72.37,68.0,4.47
ugoofaaru,100,MV,79,1559251386,5.67,73.0,84.5,12.93
westport,100,IE,93,1559251387,53.8,-9.52,57.99,15.93
kavaratti,94,IN,77,1559251147,10.57,72.64,85.58,11.05
lompoc,75,US,77,1559251166,34.64,-120.46,70.0,9.17
lulea,90,SE,93,1559251387,65.58,22.15,42.8,18.34
umm lajj,100,SA,55,1559251387,25.02,37.27,89.54,6.93
souillac,0,FR,67,1559251387,45.6,-0.6,64.99,3.36
aklavik,75,CA,56,1559251388,68.22,-135.01,50.0,4.7
ponta do sol,50,BR,84,1559251388,-20.63,-46.0,69.2,3.04
praia,20,BR,57,1559251150,-20.25,-43.81,77.0,5.82
kumluca,100,TR,38,1559251388,36.37,30.29,63.8,5.08
petropavlovsk-kamchatskiy,75,RU,86,1559251388,53.05,158.65,41.0,4.47
ruangwa,2,TZ,80,1559251388,-10.07,38.93,68.3,1.86
hermanus,52,ZA,89,1559251389,-34.42,19.24,57.0,1.99
plettenberg bay,50,ZA,79,1559251389,-34.05,23.37,58.58,1.92
tongren,0,CN,84,1559251389,27.72,109.18,59.3,3.33
pahrump,40,US,22,1559251320,36.21,-115.98,91.0,8.05
shingu,100,JP,51,1559251389,33.72,135.99,54.44,3.6
odienne,100,CI,87,1559251389,9.51,-7.57,77.3,4.99
adrar,40,DZ,11,1559251390,27.87,-0.29,95.0,11.41
redford,75,GB,93,1559251390,56.59,-2.71,48.2,8.05
havelock,20,US,52,1559251362,34.88,-76.9,93.99,12.75
pinega,0,RU,53,1559251390,64.7,43.39,45.26,5.48
walvis bay,0,NA,87,1559251390,-22.95,14.51,57.99,4.7
tuktoyaktuk,20,CA,48,1559251390,69.44,-133.03,42.8,16.11
omsukchan,100,RU,40,1559251391,62.53,155.8,56.6,5.66
kukuna,40,SL,78,1559251391,8.64,-12.57,82.4,8.05
tezu,0,IN,49,1559251391,27.93,96.16,71.9,4.34
lavrentiya,99,RU,80,1559251391,65.58,-170.99,35.9,8.84
atambua,48,ID,73,1559251391,-9.11,124.89,81.44,18.86
santa cruz cabralia,20,BR,74,1559251384,-16.28,-39.02,78.8,5.82
fergus falls,1,US,30,1559251392,46.28,-96.08,87.8,9.17
ancud,90,CL,93,1559251392,-41.87,-73.83,51.8,12.75
saint anthony,1,US,28,1559251392,43.97,-111.68,71.01,3.36
lithakia,0,GR,88,1559251392,37.72,20.83,70.0,6.87
caconda,9,AO,47,1559251392,-13.73,15.06,62.0,3.22
roebourne,0,AU,28,1559251392,-20.77,117.15,68.3,15.5
bonavista,0,CA,84,1559251393,48.65,-53.11,41.0,4.0
dingle,40,PH,87,1559251393,11.0,122.67,77.48,5.59
boyolangu,58,ID,94,1559251393,-8.09,111.9,69.92,6.15
chesley,90,CA,87,1559251393,44.3,-81.09,66.0,11.41
ambilobe,53,MG,92,1559251393,-13.19,49.05,71.18,4.5
lima,90,PE,72,1559251394,-12.06,-77.04,68.0,5.82
touros,40,BR,83,1559251394,-5.2,-35.46,80.6,8.05
narsaq,0,GL,15,1559251394,60.91,-46.05,59.0,13.87
sabha,7,LY,25,1559251394,27.03,14.43,92.42,21.99
casa nova,30,BR,76,1559251395,-11.77,-39.23,74.96,7.34
kokopo,49,PG,88,1559251395,-4.34,152.27,75.32,2.21
nanortalik,0,GL,64,1559251395,60.14,-45.24,40.58,4.47
tangi,20,PK,32,1559251395,34.3,71.65,82.4,4.7
saint-joseph,0,FR,67,1559251396,43.56,6.97,66.2,3.36
aasiaat,0,GL,75,1559251396,68.71,-52.87,38.06,4.68
margate,75,AU,81,1559251149,-43.03,147.26,52.0,6.93
marsa matruh,40,EG,88,1559251396,31.35,27.25,71.6,11.41
gat,0,SN,83,1559251396,14.69,-16.54,71.6,20.8
kitimat,75,CA,36,1559251396,54.02,-128.69,78.8,2.24
alofi,75,NU,88,1559251397,-19.06,-169.92,77.0,6.93
codrington,0,AU,80,1559251397,-28.95,153.24,41.0,3.36
angoche,71,MZ,77,1559251397,-16.23,39.91,71.9,7.45
nguruka,23,TZ,68,1559251398,-5.11,31.04,69.38,2.66
ulkan,82,RU,89,1559251398,57.24,107.32,46.88,2.39
sirvintos,0,LT,54,1559251398,55.05,24.95,53.6,1.12
lerum,75,SE,93,1559251399,57.77,12.27,54.0,17.22
clyde river,20,CA,80,1559251399,70.47,-68.59,35.6,3.36
buchanan,75,LR,88,1559251399,5.88,-10.05,80.6,14.16
saint-pierre,20,FR,87,1559251399,48.95,4.24,59.0,4.7
vavuniya,100,LK,80,1559251400,8.76,80.5,81.08,7.14
kirkkonummi,0,FI,57,1559251400,60.12,24.44,53.01,12.75
ahipara,100,NZ,81,1559251400,-35.17,173.16,63.08,28.68
bang lamung,20,TH,74,1559251400,12.97,100.91,87.01,6.93
veraval,40,FR,82,1559251400,49.65,0.71,59.0,13.22
geraldton,75,CA,32,1559251401,49.72,-86.95,55.4,9.17
castro,90,CL,93,1559251401,-42.48,-73.76,51.8,12.75
avera,40,US,32,1559251401,33.19,-82.53,98.6,13.87
west islip,90,US,87,1559251402,40.71,-73.31,66.0,9.17
washington,20,US,88,1559251152,38.9,-77.04,75.2,8.05
komsomolskiy,0,RU,95,1559251402,67.55,63.78,20.24,5.1
tuy hoa,100,VN,87,1559251402,13.08,109.3,75.68,1.86
amapa,20,HN,42,1559251403,15.09,-87.97,98.6,6.93
college,1,US,35,1559251403,64.86,-147.8,71.01,4.7
pavlodar,0,KZ,75,1559251403,52.28,76.96,46.4,2.24
mana,75,RS,93,1559251403,43.52,20.24,57.2,2.24
vanimo,54,PG,77,1559251403,-2.67,141.3,82.7,10.76
waingapu,91,ID,81,1559251403,-9.65,120.26,72.98,11.3
byron bay,0,AU,30,1559251404,-28.65,153.62,53.6,8.05
klaksvik,63,FO,80,1559251404,62.23,-6.59,39.2,13.87
zabol,0,IR,42,1559251404,31.03,61.49,80.6,20.8
kamaishi,100,JP,72,1559251404,39.28,141.86,52.28,2.01
kizilskoye,3,RU,80,1559251404,52.73,58.89,58.94,4.65
visby,75,SE,54,1559251405,57.64,18.3,55.4,27.51
dalnerechensk,100,RU,69,1559251405,45.93,133.72,53.18,13.94
eyrarbakki,0,IS,49,1559251405,63.86,-21.15,52.0,5.82
kargopol,0,RU,63,1559251405,61.51,38.95,44.54,4.43
cabo rojo,1,PR,61,1559251406,18.09,-67.15,82.4,6.93
skagen,100,SE,93,1559251406,58.6,13.44,55.4,12.75
bourg-les-valence,0,FR,67,1559251406,44.96,4.91,63.0,12.75
cap-aux-meules,40,CA,66,1559251406,47.38,-61.86,50.0,9.17
tallahassee,40,US,38,1559251120,30.44,-84.28,96.8,14.99
barra do garcas,20,BR,43,1559251406,-15.89,-52.26,91.4,11.41
san policarpo,91,PH,75,1559251407,12.18,125.51,84.14,4.29
polovinnoye,0,RU,63,1559251407,54.79,65.99,57.5,8.84
beira,0,ES,68,1559251407,43.2,-8.36,73.0,2.24
muli,0,IN,56,1559251407,22.62,71.45,87.02,14.45
saint-augustin,0,FR,68,1559251408,44.83,-0.61,64.99,6.93
boa vista,99,BR,55,1559251409,2.82,-60.67,90.44,8.28
zhigansk,0,RU,75,1559251409,66.77,123.37,38.6,14.54
nanchang,100,CN,96,1559251409,28.68,115.89,65.78,1.21
nanakuli,1,US,48,1559251409,21.39,-158.15,89.6,10.29
eydhafushi,100,MV,80,1559251410,5.1,73.07,83.6,12.35
chinhoyi,0,ZW,50,1559251410,-17.36,30.19,57.5,7.09
rohnert park,1,US,73,1559251410,38.34,-122.7,81.0,11.41
saldanha,0,PT,38,1559251410,41.42,-6.55,70.82,3.94
leningradskiy,86,RU,98,1559251410,69.38,178.42,32.66,2.89
mentougou,0,CN,22,1559251410,39.94,116.09,64.99,8.95
blagoyevo,23,RU,60,1559251411,63.37,47.92,48.14,7.7
port hedland,0,AU,51,1559251411,-20.31,118.58,59.0,10.29
balanacan,100,PH,92,1559251411,13.53,121.87,78.01,3.0
ejura,100,GH,91,1559251411,7.38,-1.37,75.86,7.85
coos bay,90,US,77,1559251411,43.37,-124.22,64.0,13.87
pisco,0,PE,30,1559251287,-13.71,-76.2,71.6,11.41
tiznit,0,MA,87,1559251412,29.7,-9.73,67.58,1.45
tayu,75,JP,77,1559251412,35.06,136.67,68.0,3.36
usinsk,97,RU,77,1559251412,66.0,57.56,36.8,9.95
gao,1,ML,9,1559251118,16.28,-0.04,100.7,8.81
mundo nuevo,75,CL,77,1559251412,-32.72,-71.41,60.8,9.17
ahuimanu,40,US,40,1559251413,21.44,-157.84,89.6,13.87
rochester,1,US,31,1559251376,44.02,-92.46,81.0,5.61
carauari,94,BR,64,1559251413,-4.88,-66.9,87.74,0.78
douentza,87,ML,11,1559251413,15.01,-2.95,102.68,3.18
puerto carreno,100,CO,90,1559251413,6.19,-67.49,76.04,4.79
palana,96,RU,72,1559251414,59.08,159.95,47.78,4.05
ushtobe,49,KZ,27,1559251414,45.25,77.98,69.92,1.28
mhango,100,TZ,49,1559251414,-2.75,33.92,74.6,4.05
brownsville,75,US,63,1559251414,25.91,-97.49,93.2,12.75
altotting,40,DE,87,1559251414,48.23,12.68,55.0,9.17
hualmay,100,PE,94,1559251415,-11.1,-77.61,61.46,13.58
maningrida,67,AU,49,1559251415,-12.05,134.23,74.24,14.52
port lincoln,100,AU,72,1559251415,-34.72,135.86,56.42,8.01
denpasar,20,ID,78,1559251265,-8.65,115.22,80.6,11.41
mogok,4,MM,95,1559251415,22.92,96.51,67.76,3.4
mahajanga,20,MG,83,1559251416,-15.72,46.32,77.0,5.84
fivizzano,0,IT,87,1559251411,44.24,10.13,62.01,2.24
tulun,0,RU,61,1559251416,54.56,100.58,51.38,4.56
gizo,0,IL,50,1559251416,31.8,34.94,78.8,4.7
alberdi,90,AR,88,1559251416,-26.19,-58.14,68.0,4.7
san patricio,100,PY,99,1559251417,-26.98,-56.83,64.7,3.04
penne,75,IT,82,1559251417,42.45,13.93,62.01,1.12
